,stock_name,ticker
1,A&W Revenue Rylty Un,TSE:AW.UN
2,Aberdeen Asia-Pacifc,TSE:FAP
3,Aberdeen Int'l. J,TSE:AAB
4,Absolute Software J,TSE:ABT
5,Acadian Timber Corp.,TSE:ADN
6,Acasta Entrpr A RV J,TSE:AEF.A
7,Acasta Entrpr Wt J,TSE:AEF.WT
8,Accord Financial,TSE:ACD
9,Acerus Pharma Corp J,TSE:ASP
10,ACTIVEnergy Incm Un,TSE:AEU.UN
11,ADF Group Inc. SV,TSE:DRX
12,,
1,Advantage Oil & Gas,TSE:AAV
2,Advntg Cdn HiYld Bnd,TSE:AHY.UN
3,Aecon Group Inc.,TSE:ARE
4,Aecon Group 5.5% Deb,TSE:ARE.DB.B
5,AEterna Zentaris Inc,TSE:AEZ
6,Africa Oil Corp. J,TSE:AOI
7,Ag Growth Int'l Inc.,TSE:AFN
8,Ag Growth IntlConvDb,TSE:AFN.DB.A
9,Ag Growth Intl ExtDb,TSE:AFN.DB.B
10,Ag Growth Intl2020Db,TSE:AFN.DB.C
11,Agellan Commercl Un,TSE:ACR.UN
12,AGF Management B NV,TSE:AGF.B
13,AgJunction Inc.,TSE:AJX
14,Agnico Eagle Mines,TSE:AEM
15,,
1,Agrium Inc.,TSE:AGU
2,AGT Food&Ingredients,TSE:AGT
3,Aimia Inc.,TSE:AIM
4,Aimia Inc. Ser 1 Pr,TSE:AIM.PR.A
5,Aimia Inc. Ser 2 Pr,TSE:AIM.PR.B
6,Aimia Inc. Ser 3 Pr,TSE:AIM.PR.C
7,Air Canada Vote & VV,TSE:AC
8,Airboss of America J,TSE:BOS
9,Akita Drill Cl A NV,TSE:AKT.A
10,Akita Drilling Cl B,TSE:AKT.B
11,Alacer Gold Corp. J,TSE:ASR
12,Alamos Gold Inc. J,TSE:AGI
13,Alamos Gold Inc Wt J,TSE:AGI.WT
14,Alamos Gold Wt A J,TSE:AGI.WT.A
15,Alaris Royalty Corp.,TSE:AD
16,AlarmForce Ind J,TSE:AF
17,,
1,Alderon Iron Ore J,TSE:ADV
2,Alexco Resource J,TSE:AXR
3,Algoma Central Corp,TSE:ALC
4,Algoma Central 6% Db,TSE:ALC.DB
5,Algonquin Pwr & Util,TSE:AQN
6,Algonquin Pwr&U Rec,TSE:AQN.IR
7,Algonquin Pwr A Pr,TSE:AQN.PR.A
8,Algonquin Pwr D Pr,TSE:AQN.PR.D
9,Alignvst Aquis A JRV,TSE:AQX.A
10,Alignvest Aquis Wt J,TSE:AQX.WT
11,Alimentation Cl A MV,TSE:ATD.A
12,Alimentation Cl B SV,TSE:ATD.B
13,Allbanc Split A Cap,TSE:ABK.A
14,Allbanc Split Pr C,TSE:ABK.PR.C
15,Allbanc Splt 2 Cap A,TSE:ALB
16,Allbanc Splt II Pr 2,TSE:ALB.PR.C
17,Allied Prop. REIT Un,TSE:AP.UN
18,Almaden Minerals,TSE:AMM
19,,
1,AltaGas Ltd.,TSE:ALA
2,AltaGas Ltd Sr A Pr,TSE:ALA.PR.A
3,AltaGas Ltd Sr B Pr,TSE:ALA.PR.B
4,AltaGas Ltd Sr E Pr,TSE:ALA.PR.E
5,AltaGas Ltd Sr G Pr,TSE:ALA.PR.G
6,AltaGas Ltd Sr I Pr,TSE:ALA.PR.I
7,AltaGas Ltd C Pr USF,TSE:ALA.PR.U
8,Alterra Power Corp J,TSE:AXY
9,Altius Minerals Corp,TSE:ALS
10,Altus Group Limited,TSE:AIF
11,Altus Group 6.75% Db,TSE:AIF.DB.A
12,Amaya Inc. J,TSE:AYA
13,Americn CoreSecDivUn,TSE:ACZ.UN
14,American Hotl LP Un,TSE:HOT.UN
15,Americas Silver J,TSE:USA
16,Amerigo Resources J,TSE:ARG
17,Anaconda Mining J,TSE:ANX
18,,
1,Andrew Peller A NV,TSE:ADW.A
2,Andrew Peller Ltd. B,TSE:ADW.B
3,Anglo Pacific Ord,TSE:APY
4,Aptose Biosciences,TSE:APS
5,Aquila Resources J,TSE:AQA
6,Aralez PharmaceutclJ,TSE:ARZ
7,ARC Resources Ltd.,TSE:ARX
8,Argex Titanium Inc J,TSE:RGX
9,Argex Titanium Deb J,TSE:RGX.DB
10,Argonaut Gold Inc. J,TSE:AR
11,Aritzia Inc. SV,TSE:ATZ
12,Arizona Mining Inc J,TSE:AZ
13,,
1,Artis REIT G US Deb,TSE:AX.DB.U
2,Artis REIT Ser A Pr,TSE:AX.PR.A
3,Artis REIT Ser E Pr,TSE:AX.PR.E
4,Artis REIT Ser G Pr,TSE:AX.PR.G
5,Artis REIT Pr C US,TSE:AX.PR.U
6,Artis REIT Un,TSE:AX.UN
7,Asanko Gold Inc. J,TSE:AKG
8,Aston Hill AdvBnd Un,TSE:MBB.UN
9,Aston Hill Advntg Un,TSE:AOG.UN
10,Aston Hill AdvVIP Un,TSE:AV.UN
11,Aston Hill Fin J,TSE:AHF
12,Aston HillFin 6.5DbJ,TSE:AHF.DB.A
13,AstonHill VIP IncmUn,TSE:VIP.UN
