,stock_name,ticker
158,"UNION CATALANA DE VALORES, S.A.",BME:UNC
159,"UNION EUROPEA DE INVERSIONES, S.A.",none found
160,"URBAR INGENIEROS, S.A.",none found
161,"URBAS GRUPO FINANCIERO, S.A.",BME:UBS
162,"USINAS SIDERURGICAS DE MINAS GERAIS,S.A.",more than one
163,"VALE, S.A.",more than one
164,"VERTICE TRESCIENTOS SESENTA GRADOS, S.A.",BME:VER
165,VIDRALA S.A.,BME:VID
166,"VISCOFAN, S.A.",more than one
167,"VOCENTO, S.A.",BME:VOC
168,"VOLCAN, COMPAñIA MINERA S.A.A.",none found
169,"ZARDOYA OTIS, S.A.",BME:ZOT
