,buy_row,buy_date,buy_price,stop,next_buy,sell_price,N,thing,shares,amount_invested,amount_retrieved,win,percent_win
0,125,2009-07-31 00:00:00,274.09,"[262.7031364020674, 270.92547958196405, 274.12320560286582]","[279.3617158994831, 288.568630104509, 292.38169859928354]",274.1232056028658,6.663431798966296,30.01456397152983,0.0,0.0,0.0,0.0,
1,126,2009-08-03 00:00:00,279.361715899,"[270.92547958196405, 274.12320560286582]","[288.568630104509, 292.38169859928354]",274.1232056028658,7.057260209017983,28.339609717725,0.0,0.0,0.0,0.0,
2,127,2009-08-04 00:00:00,288.568630105,[274.12320560286582],[292.38169859928354],274.1232056028658,7.303397198567085,27.384516350725068,0.0,0.0,0.0,0.0,
3,202,2009-11-18 00:00:00,272.27,[263.57435034484729],[275.35641241378818],263.5743503448473,4.712824827576349,42.43739313834277,0.0,0.0,0.0,0.0,
4,217,2009-12-10 00:00:00,273.95,"[264.30541174061494, 266.85963603036879]","[276.41114706484626, 278.93509099240777]",266.8596360303688,4.842294129692531,41.3027368109709,0.0,0.0,0.0,0.0,
5,231,2009-12-31 00:00:00,276.411147065,[266.85963603036879],[278.93509099240777],266.8596360303688,4.830181984815608,41.40630738732611,0.0,0.0,0.0,0.0,
6,268,2010-02-25 00:00:00,277.28,"[269.70083200304617, 273.17378596884845, 276.33422099504151, 280.61505944802491, 284.1873064756237, 287.22447438953782, 292.31056997973002, nan]","[279.63729199923841, 283.19405350778788, 285.87894475123966, 289.84623513799374, 293.62817338109409, 296.48138140261551, 301.92235750506751, nan]",,3.974583998476915,50.31973159370672,0.0,0.0,,,
7,274,2010-03-05 00:00:00,279.637291999,"[273.17378596884845, 276.33422099504151, 280.61505944802491, 284.1873064756237, 287.22447438953782, 292.31056997973002, nan]","[283.19405350778788, 285.87894475123966, 289.84623513799374, 293.62817338109409, 296.48138140261551, 301.92235750506751, nan]",,4.008107015575765,49.89886727644421,0.0,0.0,,,
8,277,2010-03-10 00:00:00,283.194053508,"[276.33422099504151, 280.61505944802491, 284.1873064756237, 287.22447438953782, 292.31056997973002, nan]","[285.87894475123966, 289.84623513799374, 293.62817338109409, 296.48138140261551, 301.92235750506751, nan]",,3.8178895024792725,52.38496291475261,0.0,0.0,,,
9,279,2010-03-12 00:00:00,285.878944751,"[280.61505944802491, 284.1873064756237, 287.22447438953782, 292.31056997973002, nan]","[289.84623513799374, 293.62817338109409, 296.48138140261551, 301.92235750506751, nan]",,3.6924702759875445,54.16428164652195,0.0,0.0,,,
10,280,2010-03-15 00:00:00,289.846235138,"[284.1873064756237, 287.22447438953782, 292.31056997973002, nan]","[293.62817338109409, 296.48138140261551, 301.92235750506751, nan]",,3.7763467621881674,52.961238094594876,0.0,0.0,,,
11,283,2010-03-18 00:00:00,293.628173381,"[287.22447438953782, 292.31056997973002, nan]","[296.48138140261551, 301.92235750506751, nan]",,3.7027628052310795,54.01372178564879,0.0,0.0,,,
12,286,2010-03-23 00:00:00,296.481381403,"[292.31056997973002, nan]","[301.92235750506751, nan]",,3.844715010135,52.01946034303785,0.0,0.0,,,
13,291,2010-03-30 00:00:00,301.922357505,[nan],[nan],,,,,,,,
