,buy_row,buy_date,buy_price,stop,next_buy,sell_price,N,thing,shares,amount_invested,amount_retrieved,win,percent_win
0,51,2014-02-12 00:00:00,21.07,[20.386576552434505],[21.265855861891374],20.386576552434505,0.35171172378274773,568.6475214671547,27.0,568.89,550.4375669157316,-18.4524330843,-0.0324358541797
1,54,2014-02-18 00:00:00,21.09,"[20.431682321643532, 20.683598205561356]","[21.329579419589116, 21.591600448609661]",20.683598205561356,0.3591588391782334,556.8566834039397,26.0,548.34,537.7735533445953,-10.5664466554,-0.0192698811967
2,55,2014-02-19 00:00:00,21.3295794196,[20.683598205561356],[21.591600448609661],20.683598205561356,0.3632008972193218,550.6594326479001,26.0,554.569064909,537.7735533445953,-16.7955115647,-0.0302856986216
3,57,2014-02-21 00:00:00,21.41,"[20.735072380519124, 21.042166432247587, 21.355058110635206, 21.606993772605861]","[21.678731904870219, 21.964458391938106, 22.273735472341198, 22.560751556848537]",21.60699377260586,0.3774638097404378,529.8521204921065,25.0,535.25,540.1748443151465,4.92484431515,0.00920101693628
4,60,2014-02-26 00:00:00,21.6787319049,"[21.042166432247587, 21.355058110635206, 21.606993772605861]","[21.964458391938106, 22.273735472341198, 22.560751556848537]",21.60699377260586,0.36891678387620763,542.1276795774932,25.0,541.968297622,540.1748443151465,-1.79345330661,-0.00330914799718
5,61,2014-02-27 00:00:00,21.9644583919,"[21.355058110635206, 21.606993772605861]","[22.273735472341198, 22.560751556848537]",21.60699377260586,0.36747094468239727,544.2607174639581,25.0,549.111459798,540.1748443151465,-8.93661548331,-0.0162746839896
6,64,2014-03-04 00:00:00,22.2737354723,[21.606993772605861],[22.560751556848537],21.60699377260586,0.38150311369707024,524.2421170874336,24.0,534.569651336,518.5678505425407,-16.0018007936,-0.0299339866258
7,106,2014-05-02 00:00:00,22.37,"[21.475086691441071, 21.809802452074287, 22.232812329470576]","[22.631228327139731, 22.960049386981428, 23.429296917632357]",22.232812329470576,0.46245665427946453,432.4729640048365,19.0,425.03,422.42343425994096,-2.60656574006,-0.00613266296511
8,109,2014-05-07 00:00:00,22.6312283271,"[21.809802452074287, 22.232812329470576]","[22.960049386981428, 23.429296917632357]",22.232812329470576,0.46009877396285603,434.6892696048481,19.0,429.993338216,422.42343425994096,-7.56990395571,-0.0176047005452
9,110,2014-05-08 00:00:00,22.960049387,[22.232812329470576],[23.429296917632357],22.232812329470576,0.47859383526471333,417.8908821284309,18.0,413.280888966,400.19062193047034,-13.0902670352,-0.0316740197398
10,149,2014-07-03 00:00:00,23.23,"[22.392701975029134, 22.700590355840607, 23.064786733363359]","[23.451824506242716, 23.737352411039851, 23.933803316659162]",23.06478673336336,0.4236490124854325,472.0889087564606,20.0,464.6,461.2957346672672,-3.30426533273,-0.00711206485737
11,152,2014-07-09 00:00:00,23.4518245062,"[22.700590355840607, 23.064786733363359]","[23.737352411039851, 23.933803316659162]",23.06478673336336,0.4147048220796978,482.27073656154425,21.0,492.488314631,484.36052140063055,-8.12779323047,-0.016503525036
12,163,2014-07-24 00:00:00,23.737352411,[23.064786733363359],[23.933803316659162],23.06478673336336,0.34760663331832087,575.3630133313651,24.0,569.696457865,553.5548816007206,-16.1415762642,-0.0283336433664
13,180,2014-08-18 00:00:00,23.76,"[23.062856692368641, 23.3418031648627]","[23.959285826907841, 24.227049208784326]",23.3418031648627,0.35857165381567957,557.7685739286244,23.0,546.48,536.8614727918421,-9.61852720816,-0.0176008768997
14,182,2014-08-20 00:00:00,23.9592858269,[23.3418031648627],[24.227049208784326],23.3418031648627,0.35409841756865085,564.8147240342439,24.0,575.022859846,560.2032759567048,-14.8195838891,-0.0257721647676
15,229,2014-10-27 00:00:00,24.1,"[23.433936973762602, 24.997740125074472]","[24.40401575655935, 26.188064968731382]",24.997740125074472,0.388031513118699,515.4220552669905,21.0,506.1,524.9525426265639,18.8525426266,0.0372506275965
16,230,2014-10-28 00:00:00,24.4040157566,[24.997740125074472],[26.188064968731382],24.997740125074472,0.476129937462764,420.05340194690257,17.0,414.868267862,424.961582126266,10.0933142648,0.0243289618577
17,278,2015-01-07 00:00:00,25.95,[25.538768089167647],[26.540307977708089],25.538768089167647,0.4006159554161773,499.2312395352085,19.0,493.05,485.2365936941853,-7.81340630581,-0.0158470871226
18,286,2015-01-20 00:00:00,26.509,"[25.840110961259288, 26.1816017723892, 26.615720599581255]","[26.861222259685174, 27.167099556902699, 27.583569850104688]",26.615720599581255,0.4084445193703548,489.6625869978956,18.0,477.162,479.0829707924626,1.92097079246,0.00402582517565
19,290,2015-01-26 00:00:00,26.8612222597,"[26.1816017723892, 26.615720599581255]","[27.167099556902699, 27.583569850104688]",26.615720599581255,0.3941991138053997,507.3578123230688,19.0,510.363222934,505.6986913920438,-4.66453154197,-0.00913963101643
20,292,2015-01-28 00:00:00,27.1670995569,[26.615720599581255],[27.583569850104688],26.615720599581255,0.3871397002093732,516.6093787122215,19.0,516.174891581,505.6986913920438,-10.4762001891,-0.020295834532
21,430,2015-08-14 00:00:00,24.97,"[24.180094411743926, 24.464000456598896, 24.692800433768952]","[25.192351397064016, 25.458999885850279, 25.701799891557762]",24.69280043376895,0.4049027941280361,493.94571462689663,20.0,499.4,493.85600867537903,-5.54399132462,-0.0111013042143
22,432,2015-08-18 00:00:00,25.1923513971,"[24.464000456598896, 24.692800433768952]","[25.458999885850279, 25.701799891557762]",24.69280043376895,0.3979997717005527,502.5128510638346,20.0,503.847027941,493.85600867537903,-9.9910192659,-0.0198294694855
