,buy_row,buy_date,buy_price,stop,next_buy,sell_price,N,thing,shares,amount_invested,amount_retrieved,win,percent_win
0,63,2009-05-04 00:00:00,70.47,"[67.017901751682942, 69.172906330893852, 70.848761014349165, 72.514822963631701]","[72.095524562079262, 74.119273417276531, 75.775309746412717, 77.471294259092076]",72.5148229636317,2.0310491241585305,98.47127655411121,1.0,70.47,72.5148229636317,2.04482296363,0.0290169286736
1,65,2009-05-06 00:00:00,72.0955245621,"[69.172906330893852, 70.848761014349165, 72.514822963631701]","[74.119273417276531, 75.775309746412717, 77.471294259092076]",72.5148229636317,1.9785468345530735,101.08428898787086,1.0,72.0955245621,72.5148229636317,0.419298401552,0.00581587281734
2,66,2009-05-07 00:00:00,74.1192734173,"[70.848761014349165, 72.514822963631701]","[75.775309746412717, 77.471294259092076]",72.5148229636317,1.9706194928254201,101.49092746121448,1.0,74.1192734173,72.5148229636317,-1.60445045364,-0.0216468723946
3,67,2009-05-08 00:00:00,75.7753097464,[72.514822963631701],[77.471294259092076],72.5148229636317,1.9825885181841496,100.87821964346881,1.0,75.7753097464,72.5148229636317,-3.26048678278,-0.0430283530835
4,82,2009-06-01 00:00:00,76.48,[72.981066243142791],[77.917233439214314],72.98106624314279,1.9744668784286108,101.29316535265002,1.0,76.48,72.98106624314279,-3.49893375686,-0.0457496568627
5,91,2009-06-12 00:00:00,77.4,[74.578205063976384],[79.689198734005913],74.57820506397638,2.0443974680118115,97.82833481715332,1.0,77.4,74.57820506397638,-2.82179493602,-0.036457298915
6,119,2009-07-23 00:00:00,78.78,"[75.934935491201983, 77.068188716641885]","[80.916266127199506, 82.045452820839529]",77.06818871664188,1.9925322543990103,100.3747866858618,1.0,78.78,77.06818871664188,-1.71181128336,-0.0217290084204
7,120,2009-07-24 00:00:00,80.9162661272,[77.068188716641885],[82.045452820839529],77.06818871664188,1.9909056416790594,100.45679504495607,1.0,80.9162661272,77.06818871664188,-3.84807741056,-0.0475562899122
8,373,2010-07-27 00:00:00,79.0,[nan],[nan],,,,,,,,
