Symbol,Date,Open,High,Low,Close,Volume
AACAY.OB,23-Nov-16,91.83,94.205,91.83,91.88,4100
AACTF.OB,23-Nov-16,0.0994,0.0994,0.0994,0.0994,7000
AAGC.OB,23-Nov-16,0.0013,0.0013,0.0013,0.0013,45000
AAGIY.OB,23-Nov-16,23.87,24.66,23.87,24.34,54300
AAIGF.OB,23-Nov-16,6.079,6.25,5.98,6.25,11100
AAMAF.OB,23-Nov-16,2.35,2.35,2.35,2.35,7400
AAPT.OB,23-Nov-16,0.0002,0.0002,0.0001,0.0001,230000
AASP.OB,23-Nov-16,0.6,0.6,0.6,0.6,1700
AATRL.OB,23-Nov-16,52.55,52.55,52.55,52.55,100
AATV.OB,23-Nov-16,1.55,1.55,1.55,1.55,100
AAUKF.OB,23-Nov-16,15.34,15.45,15.34,15.45,200
ABBY.OB,23-Nov-16,0.002,0.002,0.0013,0.002,350000
ABCAF.OB,23-Nov-16,0.132,0.132,0.1297,0.132,25000
ABCP.OB,23-Nov-16,0.886,0.95,0.87,0.92,2800
ABCZF.OB,23-Nov-16,10.15,10.15,10.15,10.15,1200
ABCZY.OB,23-Nov-16,10.74,10.74,10.74,10.74,300
ABDNF.OB,23-Nov-16,3.64,3.64,3.625,3.625,172000
ABDNY.OB,23-Nov-16,7.03,7.16,7.03,7.16,106700
ABHD.OB,23-Nov-16,0.0087,0.013,0.0087,0.013,28400
ABHI.OB,23-Nov-16,0.0004,0.0004,0.0003,0.0003,17515300
ABIWF.OB,23-Nov-16,0.05,0.05,0.04,0.045,316700
ABLZF.OB,23-Nov-16,20.55,20.555,20.55,20.555,300000
ABMBF.OB,23-Nov-16,0.048,0.0508,0.0467,0.0508,173900
ABMC.OB,23-Nov-16,0.11,0.12,0.11,0.12,6000
ABMT.OB,23-Nov-16,0.51,0.51,0.51,0.51,100
ABNAF.OB,23-Nov-16,0.064,0.064,0.064,0.064,2500
ABOT.OB,23-Nov-16,0.51,0.51,0.4138,0.51,200
ABQQ.OB,23-Nov-16,10,10,10,10,100
ABRTY.OB,23-Nov-16,6.54,6.62,6.46,6.62,400
ABSSF.OB,23-Nov-16,7.3927,7.3927,7.3779,7.3779,1700
ABTO.OB,23-Nov-16,0.55,0.55,0.501,0.55,6900
ACAN.OB,23-Nov-16,1.04,1.15,0.95,1.14,51300
ACBFF.OB,23-Nov-16,1.676,2.1072,1.655,2.1072,1235900
ACCYY.OB,23-Nov-16,7.1,7.1,7.05,7.085,25000
ACDP.OB,23-Nov-16,0.004,0.0041,0.004,0.0041,20000
ACDVF.OB,23-Nov-16,10.5997,10.6896,10.58,10.589,175800
ACFN.OB,23-Nov-16,0.17,0.1884,0.163,0.17,33200
ACGBF.OB,23-Nov-16,0.4036,0.4036,0.4,0.4,11600
ACGBY.OB,23-Nov-16,10.75,10.75,10.06,10.34,2500
ACGX.OB,23-Nov-16,0.0004,0.0004,0.0004,0.0004,10000
ACHI.OB,23-Nov-16,2.25,2.26,2.23,2.23,238600
ACKDF.OB,23-Nov-16,4.3545,4.3545,4.3545,4.3545,600
ACKRF.OB,23-Nov-16,0.049,0.05,0.049,0.05,9000
ACLZ.OB,23-Nov-16,0.4,0.4,0.34,0.34,9200
ACMC.OB,23-Nov-16,2.55,2.55,2.55,2.55,100
ACNV.OB,23-Nov-16,0.0046,0.0062,0.0041,0.0048,1155000
ACOL.OB,23-Nov-16,0.0063,0.0065,0.0046,0.0054,22216600
ACOPF.OB,23-Nov-16,1.6701,1.6799,1.65,1.65,3400
ACRFF.OB,23-Nov-16,35.21,35.21,35.21,35.21,100
ACRL.OB,23-Nov-16,0.06,0.5,0.06,0.06,2500
ACTL.OB,23-Nov-16,0.0001,0.0001,0.0001,0.0001,8884700
ACUS.OB,23-Nov-16,0.0241,0.0241,0.0241,0.0241,600
ADACD.OB,23-Nov-16,0.1,0.1,0.1,0.1,100
ADAT.OB,23-Nov-16,3.75,3.75,3.5,3.5,11900
ADCF.OB,23-Nov-16,0.0028,0.0029,0.0028,0.0029,212000
ADDDF.OB,23-Nov-16,146.95,146.95,146.95,146.95,100
ADDYY.OB,23-Nov-16,72.85,73.33,72.62,73.1,64300
ADHC.OB,23-Nov-16,0.0003,0.0003,0.0003,0.0003,300
ADHHD.OB,23-Nov-16,3,3.1,3,3,100
ADHLF.OB,23-Nov-16,0.098,0.098,0.098,0.098,13000
ADLS.OB,23-Nov-16,0.0002,0.0002,0.0002,0.0002,100
ADMD.OB,23-Nov-16,0.13,0.13,0.1104,0.12,65400
ADMG.OB,23-Nov-16,0.35,0.35,0.35,0.35,2500
ADMT.OB,23-Nov-16,0.19,0.1963,0.185,0.1963,41400
ADNY.OB,23-Nov-16,0.001,0.001,0.001,0.001,153800
ADOOY.OB,23-Nov-16,6.08,6.08,6.08,6.08,400
ADRNY.OB,23-Nov-16,20.39,20.39,20.24,20.355,183300
ADSV.OB,23-Nov-16,0.0001,0.0001,0.0001,0.0001,48700
ADTM.OB,23-Nov-16,0.0001,0.0001,0.0001,0.0001,500000
ADVT.OB,23-Nov-16,0.0043,0.0043,0.004,0.0043,446000
ADWPF.OB,23-Nov-16,8.8858,8.8858,8.8858,8.8858,100
AEEX.OB,23-Nov-16,1.9,1.9,1.73,1.73,7300
AEGXF.OB,23-Nov-16,11.2333,11.2333,11.2333,11.2333,300
AENG.OB,23-Nov-16,0.0015,0.0015,0.0015,0.0015,2200
AEPP.OB,23-Nov-16,0.1001,0.123,0.1,0.123,59100
AERG.OB,23-Nov-16,0.0275,0.0296,0.017,0.0275,155600
AERO.OB,23-Nov-16,4.15,4.35,4.07,4.11,31700
AERS.OB,23-Nov-16,0.01,0.01,0.01,0.01,20000
AERT.OB,23-Nov-16,0.08,0.08,0.077,0.08,54000
AETUF.OB,23-Nov-16,17.82,17.95,17.82,17.8288,5500
AEXAY.OB,23-Nov-16,20.308,20.38,20.18,20.3,33900
AEXE.OB,23-Nov-16,0.0041,0.0045,0.004,0.004,396600
AFCB.OB,23-Nov-16,30.24,30.24,30.24,30.24,100
AFFMQ.OB,23-Nov-16,0.0009,0.0009,0.0009,0.0009,100
AFFY.OB,23-Nov-16,0.065,0.079,0.065,0.065,3400
AFLYY.OB,23-Nov-16,5.575,5.64,5.55,5.64,15300
AFRNF.OB,23-Nov-16,0.0001,0.0001,0.0001,0.0001,6900
AFYG.OB,23-Nov-16,0.0073,0.0073,0.0073,0.0073,6200
AGCBF.OB,23-Nov-16,0.2353,0.2353,0.2353,0.2353,4000
AGDXF.OB,23-Nov-16,0.087,0.087,0.087,0.087,181000
AGDY.OB,23-Nov-16,0.031,0.031,0.03,0.03,50000
AGESY.OB,23-Nov-16,37.48,37.55,37.3,37.37,6500
AGGFF.OB,23-Nov-16,0.06,0.06,0.06,0.06,6000
AGGZF.OB,23-Nov-16,40.09,40.09,39.57,39.57,4300
AGHI.OB,23-Nov-16,0.1184,0.1184,0.1019,0.113,120300
AGIN.OB,23-Nov-16,0.0075,0.0079,0.0075,0.0078,104900
AGLDF.OB,23-Nov-16,0.11,0.11,0.08,0.08,20300
AGLNY.OB,23-Nov-16,14.93,15.06,14.85,14.955,3200
AGRPY.OB,23-Nov-16,22.36,22.36,22.36,22.36,100
AGSTF.OB,23-Nov-16,0.198,0.2579,0.191,0.254,260100
