Symbol,Date,Open,High,Low,Close,Volume
AEDAUD,23-Nov-16,0.3674,0.3686,0.367,0.3686,0
AEDCAD,23-Nov-16,0.3656,0.3672,0.3656,0.3672,0
AEDCHF,23-Nov-16,0.2751,0.2768,0.2751,0.2768,0
AEDDKK,23-Nov-16,1.9037,1.9185,1.9037,1.9185,0
AEDEUR,23-Nov-16,0.2559,0.2579,0.2559,0.2579,0
AEDGBP,23-Nov-16,0.2191,0.2193,0.2188,0.2188,0
AEDINR,23-Nov-16,18.616,18.726,18.616,18.726,0
AEDJPY,23-Nov-16,30.216,30.633,30.216,30.63,0
AEDNOK,23-Nov-16,2.3173,2.3445,2.3172,2.3445,0
AEDNZD,23-Nov-16,0.3851,0.3884,0.3851,0.3884,0
AEDPKR,23-Nov-16,28.519,28.519,28.515,28.515,0
AEDSAR,23-Nov-16,1.0205,1.0208,1.0204,1.0207,0
AEDSEK,23-Nov-16,2.5063,2.5257,2.5063,2.5257,0
AEDUSD,23-Nov-16,0.2722,0.2722,0.2722,0.2722,0
AEDZAR,23-Nov-16,3.8222,3.8899,3.8141,3.8445,0
ALLGBP,23-Nov-16,0.0062,0.0062,0.0061,0.0061,0
ARSAUD,23-Nov-16,0.0874,0.0875,0.087,0.0872,0
ARSBRL,23-Nov-16,0.218,0.2208,0.2172,0.2208,0
ARSCAD,23-Nov-16,0.087,0.0872,0.0866,0.0868,0
ARSCHF,23-Nov-16,0.0655,0.0656,0.0653,0.0654,0
ARSEUR,23-Nov-16,0.0609,0.0612,0.0609,0.061,0
ARSGBP,23-Nov-16,0.0521,0.0523,0.0516,0.0517,0
ARSHKD,23-Nov-16,0.5023,0.5023,0.4983,0.4988,0
ARSHUF,23-Nov-16,18.787,18.959,18.784,18.926,0
ARSJPY,23-Nov-16,7.19,7.265,7.187,7.244,0
ARSMXN,23-Nov-16,1.3349,1.3386,1.3268,1.3283,0
ARSSGD,23-Nov-16,0.0922,0.0925,0.0921,0.0921,0
ARSUSD,23-Nov-16,0.0648,0.0648,0.0643,0.0643,0
ARSZAR,23-Nov-16,0.9119,0.9203,0.909,0.9096,0
AUDAED,23-Nov-16,2.72,2.72,2.72,2.72,0
AUDARS,23-Nov-16,11.432,11.4837,11.4235,11.4669,0
AUDBRL,23-Nov-16,2.4892,2.5238,2.4888,2.5238,0
AUDCAD,23-Nov-16,0.995,0.9999,0.9943,0.9958,0
AUDCHF,23-Nov-16,0.7489,0.7532,0.7479,0.7505,0
AUDCNH,23-Nov-16,5.1174,5.1507,5.1139,5.1262,0
AUDCNY,23-Nov-16,5.0977,5.1223,5.0772,5.098,0
AUDCZK,23-Nov-16,18.824,18.979,18.81,18.901,0
AUDDKK,23-Nov-16,5.1826,5.2236,5.1778,5.2027,0
AUDEUR,23-Nov-16,0.6965,0.7021,0.696,0.6994,0
AUDFJD,23-Nov-16,1.5479,1.5479,1.5361,1.5397,0
AUDGBP,23-Nov-16,0.5961,0.6004,0.5926,0.5933,0
AUDHKD,23-Nov-16,5.7452,5.773,5.716,5.7202,0
AUDHUF,23-Nov-16,214.91,217.48,214.79,216.98,0
AUDIDR,23-Nov-16,9796.7,9952.7,9791.6,9858.6,0
AUDILS,23-Nov-16,2.8637,2.8736,2.859,2.8593,0
AUDINR,23-Nov-16,50.619,50.914,50.574,50.704,0
AUDJPY,23-Nov-16,82.208,83.474,82.208,83.023,0
AUDKRW,23-Nov-16,864.98,873.68,864.98,871.04,0
AUDMXN,23-Nov-16,15.2593,15.3237,15.2241,15.2316,0
AUDMYR,23-Nov-16,3.2725,3.2822,3.244,3.244,0
AUDNOK,23-Nov-16,6.3069,6.3707,6.2995,6.358,0
AUDNZD,23-Nov-16,1.0479,1.0561,1.047,1.0538,0
AUDPHP,23-Nov-16,36.822,36.944,36.755,36.755,0
AUDPKR,23-Nov-16,77.527,77.527,77.478,77.478,0
AUDPLN,23-Nov-16,3.0743,3.1069,3.0727,3.097,0
AUDSEK,23-Nov-16,6.8224,6.8674,6.8167,6.8459,0
AUDSGD,23-Nov-16,1.0542,1.0611,1.0537,1.0563,0
AUDTHB,23-Nov-16,26.27,26.391,26.24,26.302,0
AUDTRY,23-Nov-16,2.5036,2.523,2.5014,2.5053,0
AUDTWD,23-Nov-16,22.887,23.029,22.887,23.029,0
AUDUSD,23-Nov-16,0.7408,0.7444,0.737,0.7376,0
AUDZAR,23-Nov-16,10.424,10.5513,10.3932,10.4102,0
AWGUSD,23-Nov-16,0.5525,0.5525,0.5525,0.5525,0
BDTGBP,23-Nov-16,0.0099,0.0099,0.0099,0.0099,0
BDTJPY,23-Nov-16,1.3722,1.3786,1.3722,1.3786,0
BGNCNY,23-Nov-16,3.7405,3.7453,3.7219,3.725,0
