Symbol,Date,Open,High,Low,Close,Volume
ADDA.IDX,23-Nov-16,-66,-39,-83,-39,0
ADDD.IDX,23-Nov-16,-4,5,-9,5,0
ADDE.IDX,23-Nov-16,-645,-163,-824,-163,0
ADDN.IDX,23-Nov-16,-690,277,-839,277,0
ADDQ.IDX,23-Nov-16,-697,537,-869,537,0
ADDS.IDX,23-Nov-16,-324,-39,-324,-39,0
ADDT.IDX,23-Nov-16,-1453,775,-1763,775,0
ADDV.IDX,23-Nov-16,-68,-68,-201,-191,0
ADDX.IDX,23-Nov-16,-392,-230,-420,-230,0
ADR.IDX,23-Nov-16,723.82,729.82,722.99,729.78,0
ADRA.IDX,23-Nov-16,0.43,0.68,0.38,0.68,0
ADRD.IDX,23-Nov-16,0.5,1.27,0.5,1.27,0
ADRE.IDX,23-Nov-16,0.27,0.81,0.22,0.81,0
ADRN.IDX,23-Nov-16,0.47,1.32,0.4,1.32,0
ADRQ.IDX,23-Nov-16,0.47,1.6,0.39,1.6,0
ADRS.IDX,23-Nov-16,0.47,0.95,0.47,0.95,0
ADRT.IDX,23-Nov-16,0.47,1.41,0.41,1.41,0
ADRV.IDX,23-Nov-16,0.65,0.68,0.59,0.61,0
ADRX.IDX,23-Nov-16,0.52,0.82,0.52,0.82,0
ADVA.IDX,23-Nov-16,50,91,50,86,23098500
ADVD.IDX,23-Nov-16,4,23,4,23,1624200
ADVE.IDX,23-Nov-16,239,743,231,737,632401000
ADVN.IDX,23-Nov-16,620,1136,563,1136,2040067000
ADVQ.IDX,23-Nov-16,625,1423,579,1423,831235400
ADVS.IDX,23-Nov-16,298,799,298,799,168286500
ADVT.IDX,23-Nov-16,1295,2650,1218,2645,2894401000
ADVV.IDX,23-Nov-16,130,305,130,305,77594400
ADVX.IDX,23-Nov-16,428,1104,428,1104,245880900
AEX.IDX,23-Nov-16,457.84,459.06,454.74,456.41,0
AMZ.IDX,23-Nov-16,302.66,304.29,300.5,303.71,0
ASHD.IDX,23-Nov-16,331,1113,331,958,0
ASHF.IDX,23-Nov-16,-210,-197,-823,-198,0
ASHR.IDX,23-Nov-16,0.36,0.79,0.24,0.79,0
