,date,open,high,low,close,volume
0,"Nov 1, 2016",56.00,56.61,55.68,56.45,9799441
1,"Oct 31, 2016",57.06,57.30,55.72,55.78,14185793
2,"Oct 28, 2016",57.55,58.39,55.06,57.60,24865263
3,"Oct 27, 2016",61.45,61.72,60.60,61.46,6612491
4,"Oct 26, 2016",61.51,61.71,60.71,61.02,4560833
5,"Oct 25, 2016",61.06,61.66,60.95,61.55,6432753
6,"Oct 24, 2016",61.13,61.68,61.02,61.12,3934849
7,"Oct 21, 2016",61.38,61.44,60.65,60.98,4341713
8,"Oct 20, 2016",61.45,61.98,61.33,61.76,4391317
9,"Oct 19, 2016",62.04,62.16,61.17,61.43,5588887
10,"Oct 18, 2016",60.62,61.62,60.40,61.55,6655071
11,"Oct 17, 2016",60.10,60.71,59.86,60.14,6138658
12,"Oct 14, 2016",61.45,61.52,60.15,60.17,5606474
13,"Oct 13, 2016",60.96,61.61,60.68,61.15,5988601
14,"Oct 12, 2016",62.00,62.23,61.02,61.21,4563796
15,"Oct 11, 2016",63.08,63.26,62.05,62.39,5308425
16,"Oct 10, 2016",63.07,63.66,62.92,63.31,3135309
17,"Oct 7, 2016",63.10,63.58,62.50,62.93,3812671
18,"Oct 6, 2016",63.16,63.21,62.56,62.83,4446105
19,"Oct 5, 2016",63.08,63.75,63.00,63.39,4442517
20,"Oct 4, 2016",63.31,63.53,62.55,63.00,4719437
21,"Oct 3, 2016",63.02,63.29,62.25,63.23,4239556
22,"Sep 30, 2016",62.67,63.26,62.45,63.07,7325429
23,"Sep 29, 2016",64.30,64.31,62.80,62.82,6431183
24,"Sep 28, 2016",64.94,64.94,63.88,64.22,5645599
25,"Sep 27, 2016",63.95,64.75,63.69,64.57,4358334
26,"Sep 26, 2016",64.52,64.88,64.02,64.07,5567717
27,"Sep 23, 2016",65.05,65.33,64.75,64.98,5154154
28,"Sep 22, 2016",64.12,65.20,64.08,65.08,5416092
29,"Sep 21, 2016",63.49,64.25,63.20,64.10,7587358
30,"Sep 20, 2016",63.36,63.55,62.76,63.28,4826460
31,"Sep 19, 2016",63.62,63.71,62.83,62.91,7903516
32,"Sep 16, 2016",63.53,63.79,63.17,63.27,11165269
33,"Sep 15, 2016",63.17,63.82,62.92,63.35,7811582
34,"Sep 14, 2016",63.41,63.96,63.06,63.34,5889959
35,"Sep 13, 2016",63.66,64.15,63.01,63.34,7640367
36,"Sep 12, 2016",62.98,64.23,62.66,64.08,6653007
37,"Sep 9, 2016",63.22,64.00,63.06,63.36,8848534
38,"Sep 8, 2016",63.96,64.15,63.44,64.06,8238846
39,"Sep 7, 2016",64.37,65.14,64.29,64.97,5714320
40,"Sep 6, 2016",64.70,64.90,64.05,64.61,6286293
41,"Sep 2, 2016",64.37,64.48,63.87,64.12,4073203
